obs,rec,date,trans,plot,spcode,indiv,leaf1,l1dto,leaf2,l2dto,leaf3,l3dto,leaf4,l4dto,leaf5,l5dto,leaf6,l6dto,notes
ERS,EAM,3/13/15,T5,T5B,BD,BD168,0.1,J,0.1,J,0.1,J,0,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5B,BH,BH169,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5B,BH,BH170,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5B,BH,BH171,0.1,J,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5B,EG,EG160,0.1,B,0,NA,0.1,J,0.1,J,0.1,J,0.1,J,
ERS,EAM,3/13/15,T5,T5B,EG,EG161,0.1,J,0.1,L,0.1,J,0.1,J,1,J,5,B,
ERS,EAM,3/13/15,T5,T5B,EG,EG162,0.1,J,0.1,J,0,NA,0,NA,0.1,L,0,NA,
ERS,EAM,3/13/15,T5,T5C,AB,AB181,0.1,J,1,K,0,NA,10,G,10,G,0,NA,
ERS,EAM,3/13/15,T5,T5C,BD,BD129,5,B,0,NA,0.1,J,0,NA,0,NA,0.1,J,
ERS,EAM,3/13/15,T5,T5C,BD,BD178,1,L,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5C,BD,BD180,25,I,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5C,BH,BH175,10,I,0,NA,1,L,0,NA,0,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5C,BH,BH176,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5C,BH,BH177,10,B,0.1,L,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5C,EG,EG172,0,NA,0.1,J,1,B,1,J,1,L,1,"J,R",
ERS,EAM,3/13/15,T5,T5C,EG,EG173,0.1,J,0,NA,0.1,J,0.1,J,0,NA,0,NA,
ERS,EAM,3/13/15,T5,T5C,EG,EG174,0,NA,0.1,J,0,NA,0.1,J,0.1,L,0,NA,
ERS,EAM,3/13/15,T5,T5C,SP,SP256,0.1,J,1,B,1,L,1,C,1,C,0.1,C,
ERS,EAM,3/13/15,T5,T5D,BH,BH187,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5D,BH,BH188,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5D,BH,BH189,0,NA,5,L,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5D,EG,EG182,0.1,J,5,S,0.1,J,0.1,J,0.1,J,0,NA,
ERS,EAM,3/13/15,T5,T5D,EG,EG183,0.1,B,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5D,EG,EG184,0.1,J,0.1,J,0.1,J,0,NA,0.1,J,0.1,J,
ERS,EAM,3/13/15,T5,T5E,BD,BD193,1,L,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5E,BD,BD194,0.1,J,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5E,BD,BD195,0.1,J,0.1,J,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5E,BH,BH185,0.1,L,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5E,BH,BH186,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5E,BH,BH192,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5E,EG,EG190,10,S,0.1,J,0.1,J,10,"R,J",1,K,0,NA,
ERS,EAM,3/13/15,T5,T5E,EG,EG191,1,J,0,NA,0.1,J,0.1,J,0,NA,0,NA,
ERS,EAM,3/14/15,T6,T6A,AB,AB226,0.1,K,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,ERS,3/16/15,T6,T6A,AB,AB227,5,G,0.1,L,1,L,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/14/15,T6,T6A,AB,AB228,1,J,0.1,J,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,ERS,3/16/15,T6,T6A,BD,BD229,1,L,0.1,L,0,NA,0,NA,NA,NA,NA,NA,
ERS,ERS,3/16/15,T6,T6A,BD,BD238,0.1,J,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,ERS,3/16/15,T6,T6A,BD,BD251,1,L,1,L,0,NA,NA,NA,NA,NA,NA,NA,
ERS,ERS,3/16/15,T6,T6A,BH,BH113,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,ERS,3/16/15,T6,T6A,BH,BH149,0,NA,5,B,NA,NA,NA,NA,NA,NA,NA,NA,OBSERVED A BH DAMPING OFF
ERS,ERS,3/16/15,T6,T6A,BH,BH237,0,NA,10,"J,L",0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/14/15,T6,T6A,EG,EG233,0.1,J,10,C,0.1,J,0.1,J,0.1,L,0.1,L,
ERS,EAM,3/14/15,T6,T6A,EG,EG234,0.1,C,0.1,L,0.1,L,5,"L,J",0.1,J,5,J,
ERS,EAM,3/14/15,T6,T6A,EG,EG235,0.1,J,0.1,J,0.1,"J,L",5,B,1,A,0.1,J,
ERS,EAM,3/14/15,T6,T6A,SP,SP236,1,"A,J",0,NA,0,NA,0.1,J,0.1,J,1,A,
ERS,ERS,3/16/15,T6,T6B,AB,AB115,1,L,25,G,0,NA,0,NA,0,NA,0,NA,
ERS,ERS,3/16/15,T6,T6B,AB,AB116,1,"G,L",0.1,K,0,NA,NA,NA,NA,NA,NA,NA,
ERS,ERS,3/16/15,T6,T6B,AB,AB117,0.1,L,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,ERS,3/16/15,T6,T6B,BD,BD114,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,ERS,3/16/15,T6,T6B,BD,BD145,0.1,L,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,ERS,3/16/15,T6,T6B,BD,BD146,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,ERS,3/16/15,T6,T6B,BH,BH147,25,R,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,ERS,3/16/15,T6,T6B,BH,BH148,0.1,L,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,ERS,3/16/15,T6,T6B,BH,BH656,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/14/15,T6,T6B,EG,EG253,0,NA,5,L,0,NA,0,NA,10,R,0,NA,
ERS,EAM,3/14/15,T6,T6B,EG,EG254,1,J,1,J,1,J,0.1,J,0,NA,0,NA,
ERS,EAM,3/14/15,T6,T6B,EG,EG255,10,G,0,NA,0,NA,0.1,J,10,"J,R",0,NA,
ERS,EAM,3/14/15,T6,T6B,SP,SP222,25,B,0.1,J,0.1,J,0,NA,1,J,1,J,
ERS,EAM,3/14/15,T6,T6B,SP,SP252,0.1,J,0.1,J,1,L,0.1,J,25,"J,B",1,J,
ERS,EAM,3/14/15,T6,T6B,SP,SP257,0.1,J,0.1,J,0,NA,0.1,J,0,NA,0.1,J,
ERS,ERS,3/16/15,T6,T6C,AB,AB121,10,"G,L,K",0,NA,0,NA,1,"L,K",0.1,K,0,NA,
ERS,ERS,3/16/15,T6,T6C,AB,AB137,25,G,5,L,0,NA,0,NA,NA,NA,NA,NA,
ERS,ERS,3/16/15,T6,T6C,AB,AB141,0.1,L,0,NA,0,NA,0.1,J,0.1,J,10,G,
ERS,ERS,3/16/15,T6,T6C,BD,BD118,10,L,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,ERS,3/16/15,T6,T6C,BD,BD119,1,G,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,ERS,3/16/15,T6,T6C,BD,BD120,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,ERS,3/16/15,T6,T6C,BH,BH140,1,L,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,ERS,3/16/15,T6,T6C,BH,BH142,0.1,L,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,ERS,3/16/15,T6,T6C,BH,BH143,0.1,L,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/14/15,T6,T6C,EG,EG223,0.1,J,0.1,J,0.1,J,0.1,L,1,"B,L",1,"J,L",
ERS,EAM,3/14/15,T6,T6C,EG,EG224,0,NA,0,NA,0.1,J,1,B,0,NA,1,B,
ERS,EAM,3/14/15,T6,T6C,EG,EG225,0.1,L,0.1,J,0.1,L,0.1,J,1,J,0,NA,
ERS,EAM,3/14/15,T6,T6C,SP,SP250,1,C,5,B,0,NA,0,NA,0.1,C,25,B,
ERS,EAM,3/16/15,T6,T6D,AB,AB123,0,NA,0,NA,10,G,0,NA,0,NA,0.1,J,
ERS,EAM,3/16/15,T6,T6D,AB,AB124,0,NA,0,NA,1,G,0,NA,0,NA,0,NA,
ERS,EAM,3/16/15,T6,T6D,AB,AB136,1,"K,L",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T6,T6D,BD,BD125,10,"G,J",0,NA,0.1,J,0,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T6,T6D,BD,BD126,0.1,L,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T6,T6D,BD,BD134,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T6,T6D,BH,BH122,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T6,T6D,BH,BH138,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T6,T6D,BH,BH139,5,J,10,G,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/14/15,T6,T6D,EG,EG246,0.1,J,0.1,L,0.1,A,0,NA,0,NA,0,NA,
ERS,EAM,3/14/15,T6,T6D,EG,EG247,0.1,J,0,NA,0,NA,1,L,0,NA,0,NA,
ERS,EAM,3/14/15,T6,T6D,EG,EG249,1,B,0.1,J,0.1,J,0.1,L,0,NA,1,B,
ERS,EAM,3/14/15,T6,T6D,SP,SP244,0.1,L,1,A,0.1,A,0,NA,0.1,J,0.1,L,
ERS,EAM,3/14/15,T6,T6D,SP,SP248,0,NA,1,B,0,NA,0,NA,0.1,J,1,L,
ERS,EAM,3/16/15,T6,T6E,AB,AB133,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T6,T6E,AB,AB135,0.1,"K,L",0.1,"J,K",0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T6,T6E,AB,SB127,0.1,J,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T6,T6E,BH,BH128,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T6,T6E,BH,BH129,0.1,L,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T6,T6E,BH,BH132,5,L,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/14/15,T6,T6E,EG,EG240,0.1,J,0.1,L,0,NA,0,NA,0.1,L,0.1,J,
ERS,EAM,3/14/15,T7,T7A,PA,PA050,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,
ERS,EAM,3/14/15,T7,T7A,PA,PA051,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,
ERS,EAM,3/14/15,T7,T7A,PA,PA052,0,NA,0,NA,0.1,R,0,NA,0,NA,0,NA,
ERS,EAM,3/16/15,T7,T7B,BD,BD308,25,G,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T7,T7B,BD,BD318,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T7,T7B,BD,BD322,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/14/15,T7,T7B,PA,PA053,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,
ERS,EAM,3/14/15,T7,T7B,PA,PA054,5,M,0,NA,0,NA,0,NA,0,NA,0,NA,
ERS,EAM,3/14/15,T7,T7B,PA,PA055,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,
ERS,EAM,3/16/15,T7,T7C,AB,AB258,5,G,0,NA,1,G,0,NA,0,NA,0,NA,
ERS,EAM,3/16/15,T7,T7C,AB,AB317,0,NA,0,NA,0,NA,0.1,L,0,NA,0,NA,
ERS,EAM,3/16/15,T7,T7C,BH,BH259,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T7,T7C,BH,BH260,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T7,T7C,BH,BH261,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/14/15,T7,T7C,PA,PA056,0,NA,0,NA,0,NA,0,NA,1,M,0,NA,
ERS,EAM,3/14/15,T7,T7C,PA,PA057,0,NA,0,NA,0,NA,0,NA,0,NA,5,M,
ERS,EAM,3/14/15,T7,T7C,PA,PA058,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,
ERS,EAM,3/16/15,T7,T7D,AB,AB263,1,G,0,NA,0.1,G,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T7,T7D,AB,AB268,0.1,J,0,NA,0.1,J,0.1,J,0,NA,0.1,K,
ERS,EAM,3/16/15,T7,T7D,BH,BH263,0.1,J,25,I,25,I,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T7,T7D,BH,BH264,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T7,T7D,BH,BH266,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/14/15,T7,T7D,PA,PA059,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,
ERS,EAM,3/14/15,T7,T7D,PA,PA065,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,
ERS,EAM,3/14/15,T7,T7D,PA,PA066,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,
ERS,EAM,3/16/15,T7,T7E,AB,AB271,5,G,0,NA,0,NA,0.1,J,1,K,NA,NA,
ERS,EAM,3/16/15,T7,T7E,AB,AB272,1,G,0,NA,0.1,K,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T7,T7E,AB,AB277,0.1,K,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T7,T7E,BH,BH269,0.1,R,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T7,T7E,BH,BH270,0,NA,0.1,L,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T7,T7E,BH,BH276,0,NA,25,R,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/14/15,T7,T7E,PA,PA067,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,
ERS,EAM,3/16/15,T8,T8A,BD,BD303,0.1,K,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8A,BD,BD334,10,G,0,NA,5,L,0,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8A,BD,BD345,1,K,1,G,0,NA,0,NA,0,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8A,BH,BH293,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8A,BH,BH295,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8A,BH,BH320,25,"G,Q",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/14/15,T8,T8A,EG,EG096,1,L,0,NA,0.1,L,0.1,J,0,NA,0,NA,
ERS,EAM,3/14/15,T8,T8A,EG,EG097,0,NA,0,NA,10,R,0,NA,0,NA,0,NA,
ERS,EAM,3/14/15,T8,T8A,EG,EG098,0.1,L,1,J,0.1,L,0,NA,0,NA,0,NA,
ERS,EAM,3/14/15,T8,T8A,SP,SP093,0,NA,0,NA,0,NA,0.1,A,0,NA,5,A,
ERS,EAM,3/14/15,T8,T8A,SP,SP095,0,NA,0,NA,0.1,NA,0,NA,0.1,A,1,A,
ERS,EAM,3/16/15,T8,T8B,AB,AB301,1,K,0.1,G,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8B,AB,AB342,10,G,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8B,AB,AB344,2.5,G,0.1,J,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8B,BD,BD343,0.1,G,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8B,BD,BD347,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8B,BH,BH337,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8B,BH,BH340,10,B,5,B,0.1,J,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8B,BH,BH348,0.1,L,0,NA,0,NA,25,B,NA,NA,NA,NA,
ERS,EAM,3/14/15,T8,T8B,EG,EG091,0.1,J,0.1,J,0,NA,0.1,J,0.1,"J,L",0,NA,
ERS,EAM,3/14/15,T8,T8B,EG,EG092,0,NA,0.1,J,0.1,J,0.1,J,0.1,J,0,NA,
ERS,EAM,3/14/15,T8,T8B,EG,EG094,0.1,J,0.1,J,0.1,J,0.1,J,0.1,"J,L",0,NA,
ERS,EAM,3/16/15,T8,T8C,BD,BD299,1,L,0.1,L,0.1,L,0,NA,0,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8C,BD,BD335,1,G,0.1,G,0.1,L,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8C,BD,BD336,0,NA,0.1,L,0.1,L,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8C,BH,BH321,5,L,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8C,BH,BH323,0.1,J,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8C,BH,BH325,0.1,L,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/14/15,T8,T8C,EG,EG083,0,NA,0.1,L,1,L,0.1,J,0.1,J,0.1,J,
ERS,EAM,3/14/15,T8,T8C,EG,EG085,0,NA,0,NA,0.1,L,1,J,1,L,0.1,J,
ERS,EAM,3/14/15,T8,T8C,EG,EG087,0.1,L,1,"L,J",0.1,L,0.1,L,0,NA,0,NA,
ERS,EAM,3/14/15,T8,T8C,SP,SP089,0,NA,0.1,A,1,A,1,A,0.1,A,0.1,A,
ERS,EAM,3/14/15,T8,T8C,SP,SP090,1,A,5,A,0.1,A,1,A,1,A,0.1,A,
ERS,EAM,3/16/15,T8,T8D,AB,AB297,5,G,0.1,L,0.1,L,0,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8D,AB,AB330,5,G,0,NA,0,NA,0.1,K,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8D,AB,AB332,0.1,G,0,NA,0.1,J,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8D,BD,BD326,0.1,L,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8D,BD,BD349,0.1,L,0.1,L,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8D,BD,BD350,0.1,J,1,G,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8D,BH,BH296,1,J,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8D,BH,BH327,5,R,1,R,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8D,BH,BH331,0.1,J,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,GREEN ISLAND- LEAF1
ERS,EAM,3/14/15,T8,T8D,EG,EG083,0.1,J,0.1,J,0.1,L,1,L,0.1,J,0,NA,eg083 is on datasheet for both t8d and t8c
ERS,EAM,3/14/15,T8,T8D,EG,EG084,0,NA,5,G,0.1,J,0,NA,0,NA,0.1,J,
ERS,EAM,3/14/15,T8,T8D,EG,EG328,5,"L,B",0.1,"J,L",0.1,J,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/14/15,T8,T8D,SP,SP086,0,NA,0.1,J,5,B,1,B,1,"A,B",0.1,J,
ERS,EAM,3/16/15,T8,T8E,AB,AB329,1,G,0.1,G,0,NA,1,G,NA,NA,NA,NA,APHIDS - LEAF1
ERS,EAM,3/16/15,T8,T8E,AB,AB416,1,G,0,NA,0,NA,0.1,K,0.1,K,1,G,
ERS,EAM,3/16/15,T8,T8E,AB,AB425,1,G,0.1,K,0.1,G,0.1,J,0,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8E,BD,BD443,0.1,G,0.1,L,0.1,K,0,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8E,BD,BD445,1,L,0,NA,0.1,G,0,NA,0,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8E,BD,BD447,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8E,BH,BH409,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8E,BH,BH417,0.1,L,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T8,T8E,BH,BH444,1,B,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/14/15,T8,T8E,EG,EG150,1,L,10,K,20,"T,J",0,NA,0,NA,0.1,K,
ERS,EAM,3/14/15,T9,T9A,PA,PA099,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,
ERS,EAM,3/14/15,T9,T9A,PA,PA100,0,NA,0,NA,25,R,0,NA,0,NA,0,NA,
ERS,EAM,3/14/15,T9,T9A,PA,PA101,0.1,M,0,NA,0,NA,0,NA,0,NA,10,R,
ERS,EAM,3/16/15,T9,T9B,BH,BH446,1,"L,I",0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T9,T9B,BH,BH448,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/14/15,T9,T9B,PA,PA102,0,NA,0,NA,10,R,0,NA,0,NA,0,NA,
ERS,EAM,3/14/15,T9,T9B,PA,PA103,0,NA,1,M,0,NA,0,NA,0,NA,0,NA,
ERS,EAM,3/14/15,T9,T9B,PA,PA104,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,
ERS,EAM,3/16/15,T9,T9C,BH,BH440,50,I,1,I,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T9,T9C,BH,BH441,0,NA,0.1,J,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T9,T9C,BH,BH442,1,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/14/15,T9,T9C,PA,PA105,0,NA,1,M,0,NA,0,NA,0,NA,0.1,M,
ERS,EAM,3/14/15,T9,T9C,PA,PA106,0,NA,0,NA,0,NA,0,NA,0,NA,50,R,
ERS,EAM,3/14/15,T9,T9C,PA,PA107,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,
ERS,EAM,3/16/15,T9,T9D,AB,AB379,0,NA,0,NA,1,G,0.1,G,1,K,0,NA,
ERS,EAM,3/16/15,T9,T9D,AB,AB411,0.1,L,0.1,L,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T9,T9D,AB,AB449,0.1,J,0,NA,0,NA,1,R,NA,NA,NA,NA,
ERS,EAM,3/16/15,T9,T9D,BD,BD405,0,NA,0,NA,0,NA,0,NA,0.1,J,NA,NA,
ERS,EAM,3/16/15,T9,T9D,BD,BD421,25,G,0,NA,0,NA,0,NA,0,NA,0,NA,
ERS,EAM,3/16/15,T9,T9D,BD,BD432,0,NA,0,NA,1,B,0.1,L,0,NA,0,NA,
ERS,EAM,3/16/15,T9,T9D,BH,BH351,0,NA,1,L,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T9,T9D,BH,BH438,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/14/15,T9,T9D,PA,PA108,0,NA,0,NA,10,R,0,NA,0,NA,50,R,
ERS,EAM,3/14/15,T9,T9D,PA,PA109,0,NA,0,NA,0,NA,0,NA,1,R,0.1,L,
ERS,EAM,3/16/15,T9,T9E,AB,AB388,1,K,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T9,T9E,AB,AB397,0.1,J,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T9,T9E,AB,AB398,1,G,10,G,0.1,G,0,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T9,T9E,BD,BD368,0.1,B,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T9,T9E,BD,BD4371,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,
ERS,EAM,3/16/15,T9,T9E,BD,BD455,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T9,T9E,BH,BH427,25,Q,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T9,T9E,BH,BH4331,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T9,T9E,BH,BH450,0.1,J,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/14/15,T9,T9E,PA,PA111,0,NA,0,NA,0,NA,0.1,L,0,NA,0.1,L,
ERS,EAM,3/14/15,T9,T9E,PA,PA112,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,APHIDS - LEAF2 AND 6
