year,experiment,plot,subplot,host,plant,leaf,infected,native.density,nonnative.density,nonnative,origin,total.density,natdens.s,nondens.s
2016,transect,transect_4,transect_4C,SP,28,leaf3f,1,10,476,0,native,486,0.10398636802836428,0.09387020435006069
2016,transect,transect_4,transect_4C,SP,29,leaf3f,1,10,476,0,native,486,0.10398636802836428,0.09387020435006069
2016,transect,transect_4,transect_4E,SP,31,leaf3f,1,3,375.33333333,0,native,378.33333333,-1.037824731890931,-0.1710718677554182
2016,transect,transect_4,transect_4E,SP,32,leaf3f,1,3,375.33333333,0,native,378.33333333,-1.037824731890931,-0.1710718677554182
2016,transect,transect_4,transect_4E,SP,33,leaf3f,0,3,375.33333333,0,native,378.33333333,-1.037824731890931,-0.1710718677554182
2016,transect,transect_5,transect_5A,EG,34,leaf3f,1,22,65.33333333,0,native,87.33333333,2.0613768250328706,-0.9869530831525591
2016,transect,transect_5,transect_5C,EG,38,leaf3f,1,9,147,0,native,156,-0.05912950338867791,-0.77201663392626
2016,transect,transect_5,transect_5C,EG,39,leaf3f,1,9,147,0,native,156,-0.05912950338867791,-0.77201663392626
2016,transect,transect_5,transect_5C,SP,40,leaf3f,1,9,147,0,native,156,-0.05912950338867791,-0.77201663392626
2016,transect,transect_5,transect_5C,SP,41,leaf3f,1,9,147,0,native,156,-0.05912950338867791,-0.77201663392626
2016,transect,transect_5,transect_5E,BD,42,leaf3f,0,0,247.99999996,1,non-native,247.99999996,-1.5271723461420577,-0.5061972703053697
2016,transect,transect_5,transect_5E,EG,43,leaf3f,1,0,247.99999996,0,native,247.99999996,-1.5271723461420577,-0.5061972703053697
2016,transect,transect_5,transect_5E,EG,44,leaf3f,0,0,247.99999996,0,native,247.99999996,-1.5271723461420577,-0.5061972703053697
2016,transect,transect_5,transect_5E,SP,45,leaf3f,1,0,247.99999996,0,native,247.99999996,-1.5271723461420577,-0.5061972703053697
2016,transect,transect_6,transect_6A,AB,47,leaf3f,0,16,463.22222222,1,non-native,479.22222222,1.0826815965306174,0.06024069188160588
2016,transect,transect_6,transect_6A,EG,48,leaf3f,1,16,463.22222222,0,native,479.22222222,1.0826815965306174,0.06024069188160588
2016,transect,transect_6,transect_6A,EG,49,leaf3f,1,16,463.22222222,0,native,479.22222222,1.0826815965306174,0.06024069188160588
2016,transect,transect_6,transect_6A,EG,50,leaf3f,1,16,463.22222222,0,native,479.22222222,1.0826815965306174,0.06024069188160588
2016,transect,transect_6,transect_6A,SP,51,leaf3f,1,16,463.22222222,0,native,479.22222222,1.0826815965306174,0.06024069188160588
2016,transect,transect_6,transect_6A,SP,52,leaf3f,1,16,463.22222222,0,native,479.22222222,1.0826815965306174,0.06024069188160588
2016,transect,transect_6,transect_6A,SP,53,leaf3f,1,16,463.22222222,0,native,479.22222222,1.0826815965306174,0.06024069188160588
2016,transect,transect_6,transect_6C,AB,55,leaf3f,0,9,1051,1,non-native,1060,-0.05912950338867791,1.6071982651673382
2016,transect,transect_6,transect_6C,EG,56,leaf3f,1,9,1051,0,native,1060,-0.05912950338867791,1.6071982651673382
2016,transect,transect_6,transect_6C,EG,57,leaf3f,1,9,1051,0,native,1060,-0.05912950338867791,1.6071982651673382
2016,transect,transect_6,transect_6C,EG,58,leaf3f,1,9,1051,0,native,1060,-0.05912950338867791,1.6071982651673382
2016,transect,transect_6,transect_6C,SP,59,leaf3f,1,9,1051,0,native,1060,-0.05912950338867791,1.6071982651673382
2016,transect,transect_6,transect_6C,SP,60,leaf3f,0,9,1051,0,native,1060,-0.05912950338867791,1.6071982651673382
2016,transect,transect_6,transect_6E,EG,62,leaf3f,1,2,1400.00000007,0,native,1402.00000007,-1.2009406033079733,2.5257226013954477
2016,transect,transect_6,transect_6E,SP,63,leaf3f,1,2,1400.00000007,0,native,1402.00000007,-1.2009406033079733,2.5257226013954477
2016,transect,transect_6,transect_6E,SP,64,leaf3f,1,2,1400.00000007,0,native,1402.00000007,-1.2009406033079733,2.5257226013954477
2016,transect,transect_8,transect_8A,EG,65,leaf3f,1,14,105,0,native,119,0.7564498536965331,-0.8825553792381307
2016,transect,transect_8,transect_8A,EG,66,leaf3f,1,14,105,0,native,119,0.7564498536965331,-0.8825553792381307
2016,transect,transect_8,transect_8A,EG,67,leaf3f,0,14,105,0,native,119,0.7564498536965331,-0.8825553792381307
2016,transect,transect_8,transect_8A,SP,68,leaf3f,0,14,105,0,native,119,0.7564498536965331,-0.8825553792381307
2016,transect,transect_8,transect_8A,SP,69,leaf3f,1,14,105,0,native,119,0.7564498536965331,-0.8825553792381307
2016,transect,transect_8,transect_8A,SP,70,leaf3f,1,14,105,0,native,119,0.7564498536965331,-0.8825553792381307
2016,transect,transect_8,transect_8C,EG,71,leaf3f,1,11,704,0,native,715,0.26710223944540645,0.693937678900216
2016,transect,transect_8,transect_8C,EG,72,leaf3f,1,11,704,0,native,715,0.26710223944540645,0.693937678900216
2016,transect,transect_8,transect_8C,EG,73,leaf3f,1,11,704,0,native,715,0.26710223944540645,0.693937678900216
2016,transect,transect_8,transect_8C,SP,74,leaf3f,1,11,704,0,native,715,0.26710223944540645,0.693937678900216
2016,transect,transect_8,transect_8C,SP,75,leaf3f,1,11,704,0,native,715,0.26710223944540645,0.693937678900216
2016,transect,transect_8,transect_8C,SP,76,leaf3f,1,11,704,0,native,715,0.26710223944540645,0.693937678900216
