year,experiment,plot,subplot,bg.species,competition.density,native.density,nonnative.density,total.density,natdens.s,nondens.s,year.f
2016,competition,competition_220,competition_220,AB seed,80,1,129.6666666666666,130.6666666666666,-0.36782106470413134,-0.3618093531932046,2016
2016,competition,competition_221,competition_221,EG adult,4,6,101.3333333333334,107.3333333333334,-0.27634974562323583,-0.4281921692938465,2016
2016,competition,competition_224,competition_224,BH seed,100,4,2603.3333333333335,2607.3333333333335,-0.31293827325559403,5.433800979546396,2016
2016,competition,competition_225,competition_225,AB seed,10,3,74,77,-0.33123253707177314,-0.49223206247328977,2016
2016,competition,competition_230,competition_230,BD seed,100,7,324.6666666666664,331.6666666666664,-0.2580554818070567,0.0950606164406268,2016
2016,competition,competition_231,competition_231,BH seed,10,5,930,935,-0.29464400943941493,1.5133099580731721,2016
2016,competition,competition_232,competition_232,SP seed,20,8,120,128,-0.2397612179908776,-0.38445760809812946,2016
2016,competition,competition_53,competition_53,SP adult,4,3,26,29,-0.33123253707177314,-0.6046923626908484,2016
2016,competition,competition_47,competition_47,SP adult,6,7,100,107,-0.2580554818070567,-0.4313160665221122,2016
2016,competition,competition_24,competition_24,All,1,1.5,121.3333333333334,122.8333333333334,-0.3586739327960418,-0.3813337108698638,2016
