year,experiment,plot,subplot,bg.species,competition.density,host,mean.dam,leaves.dam,leaves.tot,prop.dam,native.density,nonnative.density,nonnative,origin,total.density,natdens.s,nondens.s
2016,competition,competition_88,competition_88,EG seed,40,AB,6.666666666666666e-4,2,3,0.6666666666666666,248,53,1,non-native,301,3.845939176361611,-0.5363633265633853
2016,competition,competition_88,competition_88,EG seed,40,BD,6.666666666666666e-4,2,3,0.6666666666666666,248,53,1,non-native,301,3.845939176361611,-0.5363633265633853
2016,competition,competition_88,competition_88,EG seed,40,BH,3.333333333333333e-4,1,3,0.3333333333333333,248,53,1,non-native,301,3.845939176361611,-0.5363633265633853
2016,competition,competition_88,competition_88,EG seed,40,EG,0.003666666666666667,2,3,0.6666666666666666,248,53,0,native,301,3.845939176361611,-0.5363633265633853
2016,competition,competition_88,competition_88,EG seed,40,SP,0.001,3,3,1,248,53,0,native,301,3.845939176361611,-0.5363633265633853
2016,competition,competition_88,competition_88,EG seed,40,SP,0.05,3,3,1,248,53,0,native,301,3.845939176361611,-0.5363633265633853
2016,competition,competition_94,competition_94,SP seed,100,AB,0.003666666666666667,2,3,0.6666666666666666,16,164.2222222222222,1,non-native,180.2222222222222,-0.111778561671006,-0.28882835667810636
2016,competition,competition_94,competition_94,SP seed,100,BD,5e-4,1,2,0.5,16,164.2222222222222,1,non-native,180.2222222222222,-0.111778561671006,-0.28882835667810636
2016,competition,competition_94,competition_94,SP seed,100,BH,0,0,2,0,16,164.2222222222222,1,non-native,180.2222222222222,-0.111778561671006,-0.28882835667810636
2016,competition,competition_94,competition_94,SP seed,100,EG,0.004,3,3,1,16,164.2222222222222,0,native,180.2222222222222,-0.111778561671006,-0.28882835667810636
2016,competition,competition_94,competition_94,SP seed,100,SP,0,0,3,0,16,164.2222222222222,0,native,180.2222222222222,-0.111778561671006,-0.28882835667810636
2016,competition,competition_94,competition_94,SP seed,100,SP,0.020333333333333332,3,3,1,16,164.2222222222222,0,native,180.2222222222222,-0.111778561671006,-0.28882835667810636
2016,competition,competition_98,competition_98,AB seed,20,AB,0.006666666666666666,2,3,0.6666666666666666,4,84.2222222222222,1,non-native,88.2222222222222,-0.3164880998451069,-0.46687548786432104
2016,competition,competition_98,competition_98,AB seed,20,BD,0,0,3,0,4,84.2222222222222,1,non-native,88.2222222222222,-0.3164880998451069,-0.46687548786432104
2016,competition,competition_98,competition_98,AB seed,20,BH,0,0,1,0,4,84.2222222222222,1,non-native,88.2222222222222,-0.3164880998451069,-0.46687548786432104
2016,competition,competition_98,competition_98,AB seed,20,EG,0.006999999999999999,3,3,1,4,84.2222222222222,0,native,88.2222222222222,-0.3164880998451069,-0.46687548786432104
2016,competition,competition_98,competition_98,AB seed,20,SP,0.005,1,2,0.5,4,84.2222222222222,0,native,88.2222222222222,-0.3164880998451069,-0.46687548786432104
2016,competition,competition_98,competition_98,AB seed,20,EG,0.01,3,3,1,4,84.2222222222222,0,native,88.2222222222222,-0.3164880998451069,-0.46687548786432104
2016,competition,competition_98,competition_98,AB seed,20,SP,0.023333333333333334,3,3,1,4,84.2222222222222,0,native,88.2222222222222,-0.3164880998451069,-0.46687548786432104
2016,competition,competition_99,competition_99,BD seed,40,AB,0.01,3,3,1,12,185.66666666666669,1,non-native,197.66666666666669,-0.1800150743957063,-0.2411018340129126
2016,competition,competition_99,competition_99,BD seed,40,EG,0.003666666666666667,2,3,0.6666666666666666,12,185.66666666666669,0,native,197.66666666666669,-0.1800150743957063,-0.2411018340129126
2016,competition,competition_99,competition_99,BD seed,40,SP,0.003666666666666667,2,3,0.6666666666666666,12,185.66666666666669,0,native,197.66666666666669,-0.1800150743957063,-0.2411018340129126
2016,competition,competition_99,competition_99,BD seed,40,EG,0.006999999999999999,3,3,1,12,185.66666666666669,0,native,197.66666666666669,-0.1800150743957063,-0.2411018340129126
2016,competition,competition_99,competition_99,BD seed,40,SP,0.033666666666666664,3,3,1,12,185.66666666666669,0,native,197.66666666666669,-0.1800150743957063,-0.2411018340129126
2016,competition,competition_101,competition_101,EG adult,8,AB,0.004,3,3,1,NA,NA,1,non-native,NA,NA,NA
2016,competition,competition_101,competition_101,EG adult,8,BD,0.01,1,1,1,NA,NA,1,non-native,NA,NA,NA
2016,competition,competition_101,competition_101,EG adult,8,BH,0,0,3,0,NA,NA,1,non-native,NA,NA,NA
2016,competition,competition_101,competition_101,EG adult,8,EG,0.08666666666666666,2,3,0.6666666666666666,NA,NA,0,native,NA,NA,NA
2016,competition,competition_101,competition_101,EG adult,8,SP,0.004,3,3,1,NA,NA,0,native,NA,NA,NA
